Subject,Repository,Organization,Description,Primary Language,All Languages,Build System,Archived,Size (KB),Internal Dependencies,Dependency Evidence,Build Files,Topics,Error
opencog/blender_api_msgs,opencog/blender_api_msgs,opencog,Message and Service files for blender_api,Python,"Python:80%,CMake:20%",mixed,,65,none,"Dependencies detected from package.xml (build_depend, run_depend) and CMakeLists.txt (find_package, generate_messages).","CMakeLists.txt,setup.py,package.xml",none,
opencog/cheminformatics,opencog/cheminformatics,opencog,Cheminformatics for OpenCog,CMake,"CMake:85%,Scheme:7%,Python:5%,C++:3%",cmake,,42,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/cogprotolab,opencog/cogprotolab,opencog,Prototyping laboratory for OpenCog. This is a sandbox for trying out new ideas.,JavaScript,"JavaScript:64%,HTML:32%,Scheme:2%,PHP:1%,Shell:1%",none,,1475,none,No standard dependency files found in root or key subdirectories.,"LICENSE,README.md,cogprotolab,run-word-pairs,vis-word-pairs",none,
opencog/cogserver,opencog/cogserver,opencog,"The OpenCog server provides remote, network access to one or more AtomSpaces.",C++,"C++:88%,CMake:6%,Scheme:4%,Python:2%",cmake,,2975,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,"atomspace,network,opencog,server",
opencog/cogutil,opencog/cogutil,opencog,Very low-level C++ programming utilities used by several components,C++,"C++:52%,CMake:38%,Python:5%,C:3%,Shell:2%,GDB:0%",cmake,,59824,none,find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/destin,opencog/destin,opencog,DeSTIN (Deep Spatio-Temporal Inference Network) is a general purpose deep learning architecture.,C++,"C++:59.8%,C:22.3%,Cuda:7.2%,Python:6.7%,Java:1.6%,CMake:1.0%,Shell:0.8%,MATLAB:0.4%,Batchfile:0.0%",cmake,,10510,none,find_package() in CMakeLists.txt,CMakeLists.txt,none,
opencog/dimensional-embedding,opencog/dimensional-embedding,opencog,The OpenCog dimensional embedding (feature vectors) for atoms,C++,"C++:87%,CMake:13%",cmake,True,20283,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/distributional-value,opencog/distributional-value,opencog,,none,,none,,12,none,No build files found.,LICENSE,,
opencog/docker,opencog/docker,opencog,This repository contains various docker images for demoing and using various parts of the OpenCog project.,Dockerfile,"Dockerfile:52%,Shell:39%,Scheme:7%,GDB:1%,Vim Script:1%",none,,1363,"opencog-deps,atomspace,learn",Dependency structure described in README.md,".github,.gitignore,LICENSE,README.md,archive,hydro,indigo,noetic,opencog","avatar,eva,opencog,robot-operating,ros",
opencog/evidence,opencog/evidence,opencog,Bayesian evidence aggregation for the OpenCog PLN module.,none,,none,,207,none,No build files found,"Design.md,LICENSE,README.md,aggregate.lyx,aggregate.pdf",,
opencog/external-tools,opencog/external-tools,opencog,A collection of external tools for OpenCog.,JavaScript,"JavaScript:51%,CSS:36%,HTML:7%,Less:4%",mixed,,65220,"atomspace,opencog","import atomspace in python, (use-modules (opencog)) in scheme","cnet_importer.pro,atomize.sh,sumo-opencog.sh",none,
opencog/generate,opencog/generate,opencog,"Code for generating new atoms in the AtomSpace, based on the current contents of the AtomSpace. This includes a Pattern-based forward-chainer, and other miscellaneous generators.",C++,"C++:75%,Scheme:20%,CMake:4%",cmake,,740,"cogutil,atomspace","find_package(CogUtil), FIND_PACKAGE(AtomSpace)",CMakeLists.txt,"action-plan,link-grammar,natural-language-generation,natural-language-processing,network-generator,planner",
opencog/ghost_bridge,opencog/ghost_bridge,opencog,ROS bridge for OpenCog,Python,"Python:64%,Scheme:20%,CMake:12%,Shell:4%",mixed,,1238,none,find_package in CMakeLists.txt,"CMakeLists.txt,setup.py,package.xml",none,
opencog/guile-dbi,opencog/guile-dbi,opencog,Guile-DBI is a database interface for Guile. It is based on the DBI specification for Perl. This is a mirror of the official repository at http://gna.org/svn/?group=guile-dbi,C,"C:47%,Shell:17%,Makefile:13%,Scheme:12%,M4:8%,HTML:2%",make,True,260,none,Found PKG_CHECK_MODULES for guile-3.0 in configure.ac,"Makefile.am,configure.ac",none,
opencog/guix-atomese,opencog/guix-atomese,opencog,Guix channel for the OpenCog AtomSpace and other Atomese-related utilities,Scheme,Scheme:100%,none,,72,none,"channels.scm-example only shows how to add this repo as a channel, no deps listed",".guix-channel,channels.scm-example",none,
opencog/language-learning,opencog/language-learning,opencog,Unsupervised Language Learning Toolkit,Jupyter Notebook,"Jupyter Notebook:43%,Python:28%,TSQL:22%,HTML:3%",setup.py,True,5613,none,setup.py,".circleci,.gitignore,Dockerfile,LICENSE,README.md,cli-scripts.md,conda,data,env-LG-5.4.4.yml,environment.yml,notebooks,pipeline.md,pipeline,run-tests.sh,setup.py,src,tests,tmp","nlp,nlp-machine-learning",
opencog/learn,opencog/learn,opencog,"Code for natural language learning, and associated infrastructure.",Scheme,"Scheme:52%,Tree-sitter Query:18%,Shell:14%,Perl:3%,TeX:3%,C++:2%,Emacs Lisp:2%",cmake,,250805,"cogutil,atomspace,cogserver",find_package in CMakeLists.txt,CMakeLists.txt,"graph-learning,natural-language,natural-language-learning,natural-language-understanding,neural-network,symbolic-ai",
opencog/lg-atomese,opencog/lg-atomese,opencog,The OpenCog natural language processing library.,C++,"C++:55%,Scheme:23%,CMake:13%,Tree-sitter Query:9%",cmake,,992,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,"atomese,atomspace,link-grammar,opencog",
opencog/link-grammar,opencog/link-grammar,opencog,The CMU Link Grammar natural language parser,C,"C:54%,M4:16%,C++:15%,Python:4%,Perl:3%",make,,40425,atomspace,ATOMSPACE_LIBS in configure.ac,"Makefile.am,configure.ac","english,grammar,link-grammar,natural-language,natural-language-processing,nlp,parser,russian",
opencog/link-grammar-website,opencog/link-grammar-website,opencog,The Link Grammar natural language parser website,HTML,HTML:100%,none,,11644,none,No build system files found in root directory.,index.html,none,
opencog/linkgrammar-relex-web,opencog/linkgrammar-relex-web,opencog,Web-based UI for RelEx and Link Grammar,Python,"Python:62%,HTML:33%,JavaScript:5%",none,True,63,none,requirements.txt,requirements.txt,none,
opencog/logicmoo_cogserver,opencog/logicmoo_cogserver,opencog,Prolog client for the OpenCog server,Prolog,"Prolog:85%,Scheme:15%",none,,123,none,pack.pl,pack.pl,none,
opencog/loving-ai,opencog/loving-ai,opencog,"Loving AI provides a framework for building AI-based characters, and a reference implementation of a character that is capable of forming a loving, caring relationship with a person.",Python,"Python:99%,Shell:1%",none,,16868,none,git clone in run.sh,"build.exp,run.sh",none,
opencog/loving-ai-ghost,opencog/loving-ai-ghost,opencog,A port of the [OpenCog's loving-ai ChatScripts](https://github.com/opencog/loving-ai) to Ghost. Builds upon the [Loving AI Project](http://lovingai.org/#about).,Shell,"Shell:52%,Scheme:48%",none,,291,none,Inspected lai-scheme-functions.scm,lai-scheme-functions.scm,"artificial-intelligence,chatbot,robotics",
opencog/matrix,opencog/matrix,opencog,"Distributed, persistent, versioned, sparse-matrix-like data structure",Scheme,"Scheme:88%,Tree-sitter Query:8%,CMake:3%,C++:1%",cmake,,1122,cogutil,find_package(CogUtil ... REQUIRED),CMakeLists.txt,"atomspace,embeddings,opencog,sparse-matrix,vector",
opencog/miner,opencog/miner,opencog,OpenCog Pattern Miner,C++,"C++:56%,Scheme:28%,Tree-sitter Query:13%,CMake:2%",cmake,,78863,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,none,
opencog/moses,opencog/moses,opencog,"A C++ library for genetic programming, evolutionary algorithms and machine learning. It is the primary tool for automated program learning in OpenCog.",C++,"C++:91.2%,Roff:3.9%,CMake:3.1%,Python:0.9%,Shell:0.4%,Cython:0.4%,Haskell:0.1%,C:0.1%",cmake,,139482,cogutil,find_package(CogUtil CONFIG) in CMakeLists.txt,CMakeLists.txt,"genetic-algorithm,genetic-optimization-algorithm,genetic-programming,machine-learning",
opencog/motor,opencog/motor,opencog,Motor control for Atomese,CMake,CMake:100%,cmake,,101,none,CMakeLists.txt,CMakeLists.txt,none,
opencog/ocpkg,opencog/ocpkg,opencog,DEPRECATED -- see README -- Shell scripts to install opencog packages from source,Shell,"Shell:90%,Python:10%",none,,577,"cogutil,atomspace,link-grammar,language,benchmark,vision,asmoses",Detected from install functions in ocpkg script,".gitignore,README.md,circle-ci-key-rotation.py,ocbootstrap,ocfeedbot,ocpkg,octool_rpi.sh","installer,opencog,packaging",
opencog/opencog,opencog/opencog,opencog,A framework for integrated Artificial General Intelligence (AGI) based on hypergraphs.,Scheme,"Scheme:60%,C++:13%,Tree-sitter Query:12%,Haskell:5%,Perl:3%,Python:3%,CMake:1%,TeX:1%,C:1%,PostScript:0%,Shell:0%,Cython:0%,GDB:0%,Makefile:0%",cmake,,186126,"cogutil,atomspace",SET(CPACK_DEBIAN_PACKAGE_DEPENDS ...) in CMakeLists.txt,CMakeLists.txt,"agi,learning,learning-algorithm,natural-language,natural-language-inference,natural-language-understanding,robot-controller,robotics,unsupervised-learning,unsupervised-learning-algorithms,unsupervised-machine-learning",
opencog/opencog-cycl,opencog/opencog-cycl,opencog,A CycL to opencog converter.,Python,Python:100%,none,,26,none,No internal dependencies found after analyzing python scripts.,"cycl-opencog-0-2.py,cycl-subl-0-1.py,get-cycl-entities-0-2.py",none,
opencog/opencog-debian,opencog/opencog-debian,opencog,Debian and Ubuntu packaging for the OpenCog cognitive framework.,Makefile,"Makefile:56%,Shell:43%,Dockerfile:1%",make,,139,"cogutil,atomspace,asmoses,ure,attention,agi-bio,moses,atomspace-cog,atomspace-rocks,cogserver,learn,lg-atomese,miner,pln,relex,spacetime,unify,vision",debian/control file,"Dockerfile,control,rules","debian,opencog,packaging,ubuntu",
opencog/opencog-neo4j,opencog/opencog-neo4j,opencog,OpenCog integration with Neo4j graph database.,Java,"Java:97%,Protocol Buffer:2%,Python:1%",none,True,1105,none,"Inspected pom.xml, no opencog dependencies found.",pom.xml,,
opencog/opencog-nix,opencog/opencog-nix,opencog,Nix expressions for building OpenCog,Nix,"Nix:98%,Shell:1%,C:1%",nix,,112,"cogutil,atomspace,cogserver,opencog",Detected from `import` statements in default.nix files.,default.nix,"nix,nixos,nixpkgs",
opencog/opencog-to-minecraft,opencog/opencog-to-minecraft,opencog,A ROS-based integration of OpenCog and Minecraft,Python,"Python:98.9%,Shell:1.1%",cmake,,7056,"roscpp,rospy,std_msgs,message_runtime",find_package and catkin_package in CMakeLists.txt,"CMakeLists.txt,package.xml",none,
opencog/opencog.org,opencog/opencog.org,opencog,,PHP,"PHP:57%,CSS:43%",none,,715,none,No build files found.,none,none,
opencog/opencog_rpi,opencog/opencog_rpi,opencog,"OpenCog running on a Raspberry Pi, for robotics, for home automation",C,"C:51%,C++:46%,Python:1%",cmake,,215478,"atombase,atomcore,atomspace,atomspace-cwrapper,atomspaceutils,atomutils,attention,attention-types,attentionbank,clearbox,cogutil,dimensionalembedding,dist-gearman,embodiment-types,execution,guile-cogserver,guile-patternminer,lambda,nlp-types,persist,persist-odbc,persist-pg,persist-sql,py-shell,query,ruleengine,scheme-shell,server,smob,spacetime-types,statistics,wsd",Parsed from pre-generated dependency lists in the dep_lists directory.,arm_gnueabihf_toolchain.cmake,"artificial-intelligence,natural-language-processing,raspberry-pi,raspbian,robotics",
opencog/pattern-index,opencog/pattern-index,opencog,The OpenCog Pattern Index is a database that provides indexed access to the contents of the AtomSpace.,C++,"C++:88%,Scheme:8%,CMake:5%",cmake,True,172,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,"atomspace,disk,indexing,pattern-mining,s-expressions",
opencog/pau2motors,opencog/pau2motors,opencog,Mirror of https://github.com/yantrabuddhi/pau2motors,Python,"Python:90%,Shell:10%",cmake,,200,none,find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/perception,opencog/perception,opencog,Perception Synthesizer,Python,Python:100%,cmake,,50,none,find_package(catkin REQUIRED COMPONENTS tf2) in CMakeLists.txt,"CMakeLists.txt,package.xml",none,
opencog/pi_vision,opencog/pi_vision,opencog,A ROS node for face tracking or tracking an arbitrarily selected patch in a video stream.,Python,"Python:82.5%,HTML:15.1%,CMake:2.4%",cmake,,458,none,find_package in CMakeLists.txt and build_depend in package.xml,"CMakeLists.txt,package.xml",none,
opencog/pln,opencog/pln,opencog,Probabilistic Logic Networks,Scheme,"Scheme:68%,Tree-sitter Query:25%,CMake:4%,Python:2%",cmake,,112058,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/pln-brca-xp,opencog/pln-brca-xp,opencog,Probabilistic-Logic-Network-experiments-on-BRCA-gene-dataset,Scheme,"Scheme:59%,Shell:24%,M4:16%,Makefile:1%",make,,10024,none,Analyzed Makefile.am,"Makefile.am,configure.ac","atomspace,cancer,pln",
opencog/python-attic,opencog/python-attic,opencog,"The Python Attic contains old, obsolete, unmaintained python code that is kept around for archeological purposes. Do not use this code. It is not supported. It is not maintained. It probably does not even compile.",Python,"Python:97%,CMake:3%",cmake,True,50372,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/python-client,opencog/python-client,opencog,Client for the OpenCog server and integrated NLP services.,Python,Python:100%,none,True,1071,none,No dependency files found. Interacts with OpenCog server via shell and REST API.,"README.md,__init__.py,configuration.py,example.ipynb,example.py,examples,graphics.py,opencog-nlp.ipynb,opencog.py",none,
opencog/python-destin,opencog/python-destin,opencog,A Python implementation of the DeSTIN perception learning algorithm.,Python,Python:100%,none,True,492,none,No build or dependency files found.,".gitignore,README.md,cifar-test,destin,test_destin_non_uniform.ipynb,test_python_destin.ipynb,todolist.txt",none,
opencog/relex,opencog/relex,opencog,RelEx is an English-language semantic relationship extractor.,Java,"Java:94%,Shell:3%,Perl:2%",mixed,,10455,linkgrammar,pom.xml,"pom.xml,build.xml",none,
opencog/rest-api-documentation,opencog/rest-api-documentation,opencog,"A live, interactive, auto-generated REST API documentation for OpenCog.",JavaScript,"JavaScript:88%,CSS:12%",none,True,296,none,No build files found,none,none,
opencog/robots_config,opencog/robots_config,opencog,Configuration files for various robots.,Python,"Python:90%,Shell:6%,CMake:4%,Makefile:0%",mixed,,109,none,find_package in CMakeLists.txt,"CMakeLists.txt,Makefile",none,
opencog/rocca,opencog/rocca,opencog,Rational OpenCog Controlled Agent (ROCCA). Use OpenCog to control a rational agent in OpenAI Gym and Malmo environments.,Python,"Python:87%,Jupyter Notebook:11%,Scheme:1%",mixed,,1801,none,"requirements.txt, setup.py","Makefile,setup.py,requirements.txt",none,
opencog/ros-behavior-scripting,opencog/ros-behavior-scripting,opencog,DEPRECATED IN FAVOR OF https://github.com/singnet/ros-behavior-scripting,Python,"Python:81%,Scheme:13%,Shell:4%,CMake:1%",cmake,,1152,none,find_package in CMakeLists.txt,"CMakeLists.txt,package.xml",none,
opencog/ros_opencog_robot_embodiment,opencog/ros_opencog_robot_embodiment,opencog,Embodiment for OpenCog,C++,"C++:98%,CMake:1%,Protocol Buffer:1%",cmake,True,534,none,target_link_libraries in CMakeLists.txt,"CMakeLists.txt,Makefile",none,
opencog/semantic-vision,opencog/semantic-vision,opencog,Code for semantic vision project,none,,none,,12664,none,No build files found,".gitignore,LICENSE,README.md,figures,re-id","machinelearning,opencog,semantic,vision",
opencog/sensory,opencog/sensory,opencog,Sensory and motor infrastructure for OpenCog,C++,"C++:72%,Scheme:23%,CMake:5%",cmake,,733,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,none,
opencog/spacetime,opencog/spacetime,opencog,The OpenCog spacetime server provides a database-like service for the AtomSpace.,C++,"C++:79%,CMake:19%,Scheme:1%,Cython:1%,Python:0%",cmake,,363,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,"atomspace,spacetime",
opencog/stochastic-language-generation,opencog/stochastic-language-generation,opencog,Stochastic Language Generation with OpenCog,Scheme,Scheme:100%,none,,37,none,Manual inspection of Scheme source file shows no external dependencies.,".gitignore,README.md,slg.scm,test.scm",none,
opencog/test-datasets,opencog/test-datasets,opencog,,Scheme,"Scheme:96%,SQLPL:4%",none,,56136,none,No build files found,,,
opencog/tv-toolbox,opencog/tv-toolbox,opencog,ToolBox to experiment with different TruthValue types,Haskell,Haskell:100%,none,,2253,none,No build files found,none,none,
opencog/unify,opencog/unify,opencog,The OpenCog Unifier provides pattern matching and rule-based inference capabilities to the AtomSpace.,C++,"C++:84%,CMake:13%,Scheme:2%,C:1%",cmake,,368,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,,
opencog/unity3d-opencog-game,opencog/unity3d-opencog-game,opencog,The OpenCog game for the Unity3D virtual world,C#,"C#:97%,JavaScript:3%",none,True,312028,none,No build files found,none,none,
opencog/ure,opencog/ure,opencog,"The OpenCog Uniform Rule Engine (URE) is a generic rule engine that can be used to implement a variety of different inference algorithms, including probabilistic forward and backward chaining, and a variation of logic programming.",C++,"C++:54%,Scheme:27%,Tree-sitter Query:10%,CMake:4%,Python:2%",cmake,,118809,"cogutil,atomspace,unify",find_package in CMakeLists.txt,CMakeLists.txt,"backward-chaining,backward-induction,chainer,forward-chaining,graph-rewriting,inference,inference-engine,inference-rules,rule-engine,rules-engine",
opencog/vision,opencog/vision,opencog,"Computer vision related AtomSpace types, and OpenCV wrappers.",C++,"C++:71%,CMake:26%,Cython:1%,Scheme:1%,Shell:0%",cmake,,195,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/visualization,opencog/visualization,opencog,The OpenCog source code for the 3D visualizer and other visualization tools.,C++,"C++:93%,CMake:7%",cmake,True,168,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,none,
openclaw/.github,openclaw/.github,openclaw,Community health files for the @openclaw organization,none,,none,,2,none,No build files found,"SECURITY.md,funding.yml",,
openclaw/acpx,openclaw/acpx,openclaw,Headless CLI client for the Agent Client Protocol (ACP) — talk to coding agents from the command line,TypeScript,"TypeScript:87%,JavaScript:13%",package.json,,13499,none,package.json dependencies,"package.json,pnpm-lock.yaml,tsconfig.json",agentclientprotocol,
openclaw/butter.bot,openclaw/butter.bot,openclaw,The butter.bot website and landing page.,HTML,HTML:100%,none,,1598,none,No build files found,"CNAME,LICENSE,butter-lobster-hero.png,index.html","butter,clawd",
openclaw/caclawphony,openclaw/caclawphony,openclaw,Symphony is a modern orchestrator for running autonomous agents.,Elixir,"Elixir:94%,Python:3%,CSS:1%,Shell:1%,Makefile:0%",mix,,30053,none,mix.exs,"mix.exs,Makefile",none,
openclaw/casa,openclaw/casa,openclaw,Cognitive Architecture for Social Agents: a cognitive model for the simulation of human social behavior.,Swift,"Swift:99%,Shell:1%",xcode,,1013,none,Xcode project detected. No Package.swift found.,"Casa.xcodeproj,.swiftlint.yml",none,
openclaw/clawdinators,openclaw/clawdinators,openclaw,Orchestration & coordination for the OpenClaw AGI fabric,Nix,"Nix:46%,Shell:33%,HCL:18%,JavaScript:2%",nix,,12250,nix-openclaw,flake.nix,"flake.nix,devenv.nix",none,
openclaw/clawgo,openclaw/clawgo,openclaw,"ClawCog is a versatile, multi-channel AI assistant gateway designed to seamlessly integrate with various messaging platforms. It serves as a centralized hub for routing messages to and from different AI backends, including OpenCog, and supports a wide range of plugins and skills to extend its capabilities.",Go,Go:100%,go.mod,,27,none,go.mod,"go.mod,go.sum",none,
openclaw/clawhub,openclaw/clawhub,openclaw,The AI agent skill hub,TypeScript,"TypeScript:96%,CSS:3%,JavaScript:1%",package.json,,3555,clawhub-schema,package.json workspaces,package.json,"directory,skill",
openclaw/community,openclaw/community,openclaw,Community health files for the @openclaw organization,none,,none,,21,none,No build files found,none,"community,discord,openclaw",
openclaw/flawd-bot,openclaw/flawd-bot,openclaw,"A flawed Discord bot, for testing ClawCog.",none,none,none,,3,none,none,LICENSE,none,
openclaw/hermit,openclaw/hermit,openclaw,A Discord bot built with Carbon,TypeScript,TypeScript:100%,package.json,,54,none,package.json,package.json,none,
openclaw/homebrew-tap,openclaw/homebrew-tap,openclaw,A Homebrew tap for OpenCog and related software,none,none,none,,1,none,No build files found,none,none,
